id;id_user;id_term;contrast_text;event_stamp
"cnt_4df133a20d8da";"usr_4de5345b3b6a8";"tsk_4a57abb949b00";"reaction time to figures minus reaction time to Kanizsa figures";"2011-06-09 20:57:06"
"cnt_4df133b48842d";"usr_4de5345b3b6a8";"tsk_4a57abb949b00";"accuracy of participant minus average accuracy of controls";"2011-06-09 20:57:24"
"cnt_4df13aaa3f2be";"usr_4de5345b3b6a8";"trm_4c40d4054f38b";"accuracy of subject minus average accuracy of controls";"2011-06-09 21:27:06"
"cnt_4df13d6084e80";"usr_4de5345b3b6a8";"tsk_4a57abb949b0e";"standard deviation from the mean population score in the language of the participant";"2011-06-09 21:38:40"
"cnt_4df1456d05cab";"usr_4de5345b3b6a8";"tsk_4a57abb949b2b";"accuracy of participant minus average accuracy of age-matched controls";"2011-06-09 22:13:01"
"cnt_4df1585e55f60";"usr_4de5345b3b6a8";"trm_4c3e0a9576c3b";"longest correct sequence of controls minus longest correct sequence of subject";"2011-06-09 23:33:50"
"cnt_4df24f7376278";"usr_4de5345b3b6a8";"trm_4c40d1d16071e";"size of subject sentence set minus average size of sentence set of control subjects";"2011-06-10 17:08:03"
"cnt_4df25f35f17e3";"usr_4de5345b3b6a8";"tsk_4a57abb949b54";"subject score minus average normal score";"2011-06-10 18:15:17"
"cnt_4df2609ceae39";"usr_4de5345b3b6a8";"tsk_4a57abb949b54";"Contamination/Cleaning";"2011-06-10 18:21:16"
"cnt_4df260fd670ea";"usr_4de5345b3b6a8";"tsk_4a57abb949b54";"Checking";"2011-06-10 18:22:53"
"cnt_4df26137bc72d";"usr_4de5345b3b6a8";"tsk_4a57abb949b54";"Slowness";"2011-06-10 18:23:51"
